IMAGE_FILENAME,TEXT,WIDTH,IS_LICENSE_PLATE
carro_8fSertkUZONSgsll,SYO,216,TRUE
carro_8fSertkUZONSgsll,1670,266,TRUE
carro_8fSertkUZONSgsll,B,56,TRUE
carro_8fSertkUZONSgsll,0162L,161,FALSE
carro_7nSVNFrImEcEWVQR,SVJ,141,TRUE
carro_7nSVNFrImEcEWVQR,1270,261,TRUE
carro_7nSVNFrImEcEWVQR,B,56,TRUE
carro_7nSVNFrImEcEWVQR,8222,165,FALSE
carro_6d0wecR15T2PX3e4,B,44,TRUE
carro_6d0wecR15T2PX3e4,2671,278,TRUE
carro_6d0wecR15T2PX3e4,son,244,TRUE
carro_6d0wecR15T2PX3e4,12221,161,FALSE
carro_1WwihpZJi3wjnYWk,KMY,62,TRUE
carro_1WwihpZJi3wjnYWk,1950,74,TRUE
carro_1WwihpZJi3wjnYWk,B,19,TRUE
carro_1WwihpZJi3wjnYWk,1121,48,FALSE
carro_6YZ3Ve2WiAjm2kfH,1550,179,TRUE
carro_6YZ3Ve2WiAjm2kfH,B,44,TRUE
carro_6YZ3Ve2WiAjm2kfH,1,51,FALSE
carro_6YZ3Ve2WiAjm2kfH,125,72,FALSE
carro_2liXOYAx0rc2pDzK,1187F,412,TRUE
carro_2liXOYAx0rc2pDzK,B,50,TRUE
carro_2liXOYAx0rc2pDzK,1162I,146,FALSE
carro_0CgA6H3EQL6ihI4W,B,51,TRUE
carro_0CgA6H3EQL6ihI4W,1987,226,TRUE
carro_0CgA6H3EQL6ihI4W,NRH,159,TRUE
carro_0CgA6H3EQL6ihI4W,10222,149,FALSE
carro_0CgA6H3EQL6ihI4W,ASTRIDO,92,FALSE
carro_0CgA6H3EQL6ihI4W,toyota,79,FALSE
carro_brabSjdlzAu1Oohw,ZN,197,TRUE
carro_brabSjdlzAu1Oohw,8882,386,TRUE
carro_brabSjdlzAu1Oohw,B,86,TRUE
carro_brabSjdlzAu1Oohw,11221,240,FALSE
carro_7yUiOMlVhSW8XBmK,Bs,68,TRUE
carro_7yUiOMlVhSW8XBmK,1362,210,FALSE
carro_7yUiOMlVhSW8XBmK,FMZ,171,TRUE
carro_7yUiOMlVhSW8XBmK,0542I,146,FALSE
carro_1lNgdTDrcp0rrZgp,1947,315,TRUE
carro_1lNgdTDrcp0rrZgp,FYC,246,TRUE
carro_1lNgdTDrcp0rrZgp,B,93,TRUE
carro_1lNgdTDrcp0rrZgp,1042J,189,FALSE
carro_8ANhKU9YUisDUVSx,KVH,217,TRUE
carro_8ANhKU9YUisDUVSx,2462,290,TRUE
carro_8ANhKU9YUisDUVSx,B,70,TRUE
carro_8ANhKU9YUisDUVSx,25,95,FALSE
carro_8ANhKU9YUisDUVSx,7,85,FALSE
carro_2lWlST7FztAKNiEN,B,76,TRUE
carro_2lWlST7FztAKNiEN,2506,348,TRUE
carro_2lWlST7FztAKNiEN,HZ,171,TRUE
carro_2lWlST7FztAKNiEN,2623,244,FALSE
carro_4evVcxs3I72FkEQH,IISS,191,TRUE
carro_4evVcxs3I72FkEQH,WMVI,192,TRUE
carro_4evVcxs3I72FkEQH,0ธจ22,140,FALSE
carro_BsTCHEHDBlBpGxuQ,B,15,TRUE
carro_BsTCHEHDBlBpGxuQ,97,33,TRUE
carro_BsTCHEHDBlBpGxuQ,BY,33,TRUE
carro_BsTCHEHDBlBpGxuQ,621,42,FALSE
carro_8QBBehZIdizic9fq,WG,85,TRUE
carro_8QBBehZIdizic9fq,8000,252,TRUE
carro_8QBBehZIdizic9fq,B,72,TRUE
carro_8QBBehZIdizic9fq,3321,138,FALSE
carro_5yLScTrAgf0jB8b7,B,49,TRUE
carro_5yLScTrAgf0jB8b7,1723,245,TRUE
carro_5yLScTrAgf0jB8b7,NRL,164,TRUE
carro_5yLScTrAgf0jB8b7,1,59,FALSE
carro_5yLScTrAgf0jB8b7,23,97,FALSE
carro_5yLScTrAgf0jB8b7,Hondal,68,FALSE
carro_5yLScTrAgf0jB8b7,Bintaro,76,FALSE
carro_5yLScTrAgf0jB8b7,TK57231,87,FALSE
carro_5yLScTrAgf0jB8b7,G,29,FALSE
carro_7nIgbkrfCxKdkW6Z,2128,181,TRUE
carro_7nIgbkrfCxKdkW6Z,B,42,TRUE
carro_7nIgbkrfCxKdkW6Z,PKK,149,TRUE
carro_7nIgbkrfCxKdkW6Z,12,36,FALSE
carro_7nIgbkrfCxKdkW6Z,24,42,FALSE
carro_2Q2EYQjgEAZgdBt8,ZJB,76,TRUE
carro_2Q2EYQjgEAZgdBt8,1560,101,TRUE
carro_2Q2EYQjgEAZgdBt8,B,24,TRUE
carro_2Q2EYQjgEAZgdBt8,22,28,FALSE
carro_2Q2EYQjgEAZgdBt8,11,25,FALSE
carro_2Q2EYQjgEAZgdBt8,ถข2,27,FALSE
carro_2Q2EYQjgEAZgdBt8,POIDON,35,FALSE
carro_5sHDkURaA69SPt27,3,84,TRUE
carro_5sHDkURaA69SPt27,9760,348,TRUE
carro_5sHDkURaA69SPt27,FAL,251,TRUE
carro_5sHDkURaA69SPt27,3020,150,FALSE
20210130_110604,B,59,TRUE
20210130_110604,1568,240,TRUE
20210130_110604,JV,91,TRUE
20210130_110604,a,39,TRUE
20210130_110604,12621,150,FALSE